PosScore,NegScore,SynsetTerms
0.00,0.00,ablative_case ablative
0.50,0.00,ablaut
0.00,0.00,ablaze
0.13,0.00,able
0.00,0.00,able_seaman able-bodied_seaman
0.25,0.00,able-bodied able
0.50,0.00,ablepharia
0.25,0.13,ablism ableism able-bodism able-bodiedism
0.00,0.00,ablution
0.00,0.00,abnaki
0.00,0.00,abnaki abenaki
0.00,0.00,abnegate
0.00,0.00,abnegation
0.00,0.00,abnegator
0.00,0.00,abney_level
0.25,0.19,abnormal
0.25,0.00,abnormality abnormalcy
0.13,0.00,abnormally
0.00,0.00,abo_antibodies
0.00,0.00,abo_system abo_group abo_blood_group_system
0.00,0.00,aboard
0.13,0.00,abocclusion
0.00,0.00,abohm
0.63,0.00,abolishable
0.00,0.00,abolition abolishment
0.00,0.00,abolitionary
0.00,0.00,abolitionism
0.00,0.00,abomasal
0.07,0.13,abomination
0.00,0.00,aborad
0.00,0.00,aboral
0.00,0.00,aboriginal
0.10,0.53,abort
0.00,0.38,abortifacient
0.00,0.00,abortion
0.00,0.00,abortion-inducing_drug abortifacient aborticide
0.00,0.00,abortionist
0.25,0.00,abortively
0.00,0.00,abortus
0.00,0.13,abound
0.00,0.00,about
0.00,0.00,about_turn about-face
0.00,0.00,about-face
0.00,0.07,above
0.00,0.00,aboveground
0.00,0.13,above-named above-mentioned
0.00,0.00,abracadabra
0.00,0.00,abrachia
0.00,0.00,abrader abradant
0.00,0.00,abrading_stone
0.00,0.00,abrasive_material abrasive abradant
0.44,0.56,abrasiveness
0.00,0.88,abreact
0.00,0.00,abreast
0.00,0.00,abridge
0.00,0.00,abridged
0.00,0.00,abridger abbreviator
0.00,0.00,abroad
0.00,0.00,abrogate
0.00,0.00,abrogator
0.38,0.25,abrupt
0.00,0.00,abruptio_placentae
0.00,0.00,abruzzi_e_molise abruzzi
0.00,0.00,abscess
0.00,0.50,abscessed
0.00,0.00,abscessed_tooth
0.00,0.00,abscise
0.00,0.00,abscissa
0.00,0.00,abscission
0.38,0.00,absconder
0.04,0.04,absence
0.00,0.00,absence_seizure absence
0.13,0.63,absent
0.00,0.63,absentee
0.00,0.00,absentee_ballot
0.00,0.50,absentee_rate
0.13,0.00,absenteeism
0.38,0.13,absentmindedness
0.00,0.00,absinthe absinth
0.19,0.31,absolute
0.13,0.38,absolute_alcohol
0.00,0.00,absolute_ceiling
0.00,0.00,absolute_magnitude
0.00,0.00,absolute_space
0.00,0.00,absolute_temperature
0.00,0.00,absolute_threshold
0.00,0.00,absolute_zero
0.50,0.00,absolutely
0.50,0.13,absoluteness
0.00,0.00,absolution
0.00,0.00,absolutism
0.00,0.00,absolutist
0.00,0.00,absolutistic absolutist
0.25,0.00,absolver
0.08,0.00,absorb
0.50,0.00,absorbable
0.50,0.00,absorbate
0.00,0.00,absorbed
0.00,0.00,absorbency
0.00,0.00,absorbent_cotton
0.00,0.00,absorbent_material absorbent
0.00,0.00,absorber
0.00,0.38,absorption
0.00,0.00,absorption_band
0.00,0.00,absorption_indicator
0.00,0.00,absorption_spectrum
0.00,0.00,absorption_unit
0.00,0.00,absorptive absorbent
0.00,0.00,absorptivity absorption_factor
0.00,0.00,abstain
0.00,0.00,abstemious
0.00,0.19,abstemiousness
0.25,0.13,abstinence abstention
0.00,0.00,abstinence
0.00,0.63,abstinent abstentious
0.00,0.00,abstract
0.00,0.00,abstraction abstract
0.00,0.00,abstraction
0.00,0.00,abstraction abstractedness
0.00,0.00,abstraction abstract_entity
0.00,0.00,abstractionism abstract_art
0.00,0.00,abstractionist abstract_artist
0.38,0.00,abstractive
0.00,0.00,abstractly
0.13,0.13,abstractness
0.00,0.00,abstractor abstracter
0.00,0.25,abstrusely
0.38,0.00,absurd
0.00,0.00,absurdly
0.00,0.00,abu_hafs_al-masri_brigades
0.00,0.00,abukir_bay abukir
0.00,0.00,abulia aboulia
0.00,0.75,abulic aboulic
0.00,0.00,abundance
0.00,0.25,abundant
0.63,0.13,abuse
0.38,0.13,abused
0.00,0.88,abusive
0.50,0.38,abusively
0.00,0.00,abutment
0.00,0.00,abutment_arch
0.00,0.00,abutter
0.00,0.00,abvolt
0.00,0.00,abwatt
0.00,0.00,abydos
0.25,0.25,abysmal
0.00,0.00,abyss abysm
0.00,0.00,abyssal
0.00,0.00,abyssal_zone
0.00,0.00,abyssinian_cat abyssinian
0.00,0.00,acacia
0.00,0.00,academia academe
0.00,0.32,academic
0.00,0.00,academic_administrator
0.00,0.00,academic_costume
0.00,0.00,academic_department
0.00,0.38,academic_freedom
0.00,0.00,academic_program
0.13,0.00,academic_relation
0.00,0.00,academic_requirement
0.13,0.00,academically
0.00,0.00,academician
0.00,0.00,academicianship
0.09,0.04,academy
0.00,0.00,academy_of_motion_picture_arts_and_sciences
0.00,0.00,academy_of_television_arts_and_sciences
0.00,0.00,acadia
0.25,0.00,acadia_national_park
0.00,0.00,acadian
0.00,0.00,acanthion
0.00,0.13,acanthocyte
0.00,0.13,acanthocytosis
0.00,0.00,acantholysis
0.00,0.00,acanthosis
0.00,0.00,acanthotic
0.00,0.00,acanthus
0.00,0.00,acapnotic acapnic acapnial
0.00,0.00,acapulco_de_juarez acapulco
0.00,0.50,acardia
0.00,0.00,acaricide acaracide
0.00,0.00,acarid
0.00,0.00,acarine
0.00,0.00,acariosis acaridiasis acariasis
0.00,0.13,acarophobia
0.00,0.00,acarpelous acarpellous
0.00,0.38,acarpous
0.07,0.25,acatalectic
0.00,0.50,acataphasia
0.00,0.38,acathexia
0.00,0.38,acathexis
0.00,0.25,acaudate acaudal
0.00,0.00,accelerando
0.00,0.00,accelerated
0.00,0.00,acceleration
0.00,0.00,acceleration_unit
0.13,0.25,acceleratory accelerative
0.00,0.00,accelerometer
0.00,0.00,accent_mark accent
0.00,0.00,accentor
0.00,0.00,accentual
0.00,0.00,accentuation
0.25,0.00,accept
0.00,0.00,accept1
0.50,0.00,acceptable
0.50,0.25,acceptableness acceptability
0.08,0.00,acceptance
0.00,0.00,acceptance_sampling
0.38,0.00,acceptation
0.38,0.13,accepting
0.38,0.25,acceptive
0.25,0.00,acceptive acceptant
0.00,0.00,acceptor
0.00,0.00,access
0.00,0.00,access_code access
0.00,0.00,access_time
0.30,0.04,accessible
0.00,0.00,accession
0.13,0.00,accessional
0.38,0.00,accessorial
0.19,0.00,accessory accessary
0.00,0.00,accessory_after_the_fact
0.00,0.00,accessory_before_the_fact
0.00,0.13,accessory_during_the_fact
0.00,0.75,accident
0.00,0.13,accidental
0.00,0.13,accident-prone
0.00,0.00,accipitrine
0.00,0.00,acclimatization acclimatisation acclimation
0.00,0.38,acclimatize acclimatise acclimate
0.13,0.00,accommodate
0.50,0.00,accommodating
0.00,0.00,accommodating_lens_implant accommodating_iol
0.00,0.08,accommodation
0.00,0.50,accommodation_endorser
0.00,0.00,accommodation_ladder
0.00,0.00,accommodation_reflex
0.00,0.00,accommodational
0.50,0.00,accommodative accommodating
0.00,0.00,accompanied
0.00,0.00,accompany
0.00,0.00,accompanyist accompanist
0.50,0.38,accord
0.00,0.00,accord_and_satisfaction
0.13,0.00,accordance_of_rights accordance
0.50,0.00,accordant
0.07,0.00,according
0.50,0.25,accordingly
0.00,0.00,accordionist
0.44,0.07,account
0.63,0.00,account0
0.00,0.00,account_for
0.00,0.00,accountable
0.00,0.00,accountantship
0.00,0.00,accounting
0.00,0.00,accounting accountancy
0.00,0.00,accounting account_statement account
0.00,0.00,accounting_data
0.00,0.00,accounting_firm
0.00,0.00,accounting_standard accounting_principle
0.00,0.00,accounts_payable
0.00,0.00,accounts_receivable
0.00,0.00,accoutre accouter
0.00,0.00,accoutred accoutered
0.00,0.38,accoutrement accouterment accessory
0.00,0.00,accredit
0.00,0.00,accreditation
0.00,0.00,accrete
0.03,0.00,accretion
0.00,0.38,accretionary
0.00,0.25,accretive
0.00,0.00,accrual_basis
0.00,0.00,accrue
0.00,0.00,acculturate
0.00,0.00,acculturative acculturational
0.00,0.00,accumulated accrued
0.00,0.00,accumulation accretion
0.00,0.00,accumulation accruement accrual
0.00,0.75,accumulation
0.38,0.00,accumulative
0.00,0.00,accumulator_register accumulator
0.00,0.00,accuracy
0.50,0.00,accurate
0.13,0.00,accurately
0.00,0.00,accusation accusal
0.00,0.00,accusatorial
0.00,0.00,accused
0.25,0.25,accuser
0.38,0.13,accusingly
0.00,0.50,accusive accusing accusatory accusative
0.13,0.00,accustomed
0.00,0.10,ace
0.00,0.00,ace_of_clubs
0.00,0.00,ace_of_diamonds
0.00,0.00,ace_of_hearts
0.00,0.13,ace_of_spades
0.07,0.44,acentric
0.00,0.25,acentric_chromosome
0.25,0.13,acephalous
0.00,0.50,acephaly acephalism acephalia
0.00,0.13,acerbate
0.13,0.50,acerbity
0.00,0.00,acervate
0.00,0.00,acervulus
0.00,0.00,acetal
0.00,0.00,acetaldol
0.00,0.00,acetate_rayon acetate
0.00,0.00,acetic
0.00,0.00,acetic_anhydride
0.00,0.13,acetin
0.00,0.38,acetoacetic_acid
0.00,0.00,acetonic
0.00,0.13,acetum
0.00,0.00,acetylation
0.00,0.00,acetylcholine
0.00,0.00,acetylenic
0.00,0.00,acetylic
0.00,0.00,acetylize acetylise acetylate
0.00,0.00,achaea
0.00,0.00,achaean
0.00,0.00,achaian achaean
0.00,0.00,achene
0.00,0.00,achenial
0.00,0.00,acheson_process
0.00,0.00,achievement accomplishment
0.00,0.00,achillea
0.00,0.00,achilles
0.13,0.00,achilles'_heel
0.25,0.50,aching ache
0.00,0.63,achlamydeous
0.00,0.63,achlorhydria
0.13,0.38,achlorhydric
0.00,0.00,achomawi
0.00,0.38,achondrite
0.00,0.32,achondritic
0.00,0.13,achondroplastic
0.00,0.13,achromatic_colour achromatic_color
0.00,0.00,achromatic_lens
0.00,0.00,achromatic_vision
0.00,0.00,achromatin
0.00,0.00,achromatinic
0.00,0.00,achromatize achromatise
0.00,0.38,achromatous
0.00,0.63,achromia
0.00,0.00,achromous achromic
0.00,0.75,achy aching
0.38,0.25,achylia_gastrica achylia
0.00,0.00,acicula
0.00,0.00,aciculate
0.00,0.32,acid
0.00,0.00,acid_dye
0.00,0.00,acid_head
0.00,0.00,acid_rain acid_precipitation
0.38,0.13,acid_test
0.13,0.00,acid_value
0.00,0.00,acid-base_equilibrium acid-base_balance
0.00,0.00,acid-base_indicator
0.00,0.63,acidemia
0.13,0.38,acid-fast
0.00,0.50,acid-forming
0.00,0.13,acidic
0.00,0.00,acidic_hydrogen acid_hydrogen
0.00,0.00,acidification
0.00,0.00,acidify acetify
0.00,0.00,acidimetric
0.00,0.00,acidimetry
0.00,0.00,acidity
0.00,0.25,acid-loving
0.00,0.00,acidophile acidophil
0.00,0.13,acidophilus_milk
0.00,0.00,acidosis
0.38,0.13,acidotic
0.13,0.38,acidulous acidulent acidic acid
0.00,0.13,acidulousness acidity
0.00,0.00,aciduric acidophilous acidophilic
0.00,0.00,acid-wash
0.00,0.00,acinar
0.00,0.00,acinous acinose acinic acinar
0.00,0.00,acinus
0.38,0.00,acknowledge
0.63,0.00,acknowledgeable
0.19,0.00,acknowledged
0.00,0.00,acknowledgment acknowledgement
0.00,0.63,acne
0.00,0.00,acne_vulgaris
0.13,0.38,acneiform
0.00,0.63,acold
0.00,0.38,acolyte
0.00,0.00,aconcagua
0.00,0.00,aconite
0.00,0.50,acorea
0.00,0.00,acorn
0.00,0.00,acorn_squash
0.00,0.00,acorn_tube
0.13,0.00,acorn-shaped
0.00,0.00,acoustic
0.00,0.00,acoustic_buoy
0.00,0.00,acoustic_device
0.25,0.00,acoustic_guitar
0.00,0.00,acoustic_modem
0.00,0.00,acoustic_phenomenon
0.00,0.00,acoustic_radiation_pressure
0.00,0.00,acoustic_resistance acoustic_reactance acoustic_impedance
0.00,0.00,acoustic_storage
0.00,0.00,acoustical acoustic
0.25,0.00,acoustically
0.00,0.00,acoustician
0.13,0.00,acoustics
0.00,0.00,acquaint
0.50,0.00,acquaintanceship acquaintance
0.63,0.00,acquainted
0.50,0.00,acquiescence
0.63,0.00,acquirable
0.00,0.00,acquire
0.00,0.00,acquired
0.00,0.50,acquired_hemochromatosis
0.63,0.00,acquired_immunity
0.00,0.00,acquired_taste
0.00,0.00,acquirer
0.13,0.00,acquisition
0.00,0.00,acquisitive
0.25,0.00,acquisitiveness
0.63,0.00,acquittal
0.00,0.00,acre
0.00,0.00,acre_inch
0.00,0.00,acre-foot
0.00,0.38,acridity
0.19,0.57,acridness acridity
0.38,0.63,acritical
0.00,0.13,acroanesthesia acroanaesthesia
0.38,0.13,acrobat
0.00,0.13,acrobatic_stunt acrobatic_feat
0.00,0.00,acrocarpous
0.00,0.00,acrocarpous_moss acrocarp
0.00,0.00,acrocentric
0.00,0.00,acrocentric_chromosome
0.00,0.00,acrodont
0.00,0.00,acrogen
0.00,0.00,acrogenous acrogenic
0.00,0.38,acromegalic
0.00,0.25,acromegaly acromegalia
0.00,0.00,acromikria acromicria
0.00,0.00,acromion acromial_process
0.00,0.00,acromphalus
0.00,0.00,acromyotonia
0.00,0.00,acronym
0.38,0.13,acronymous acronymic
0.00,0.00,acropetal
0.38,0.13,acrophobia
0.00,0.75,acrophobic
0.00,0.00,acrophony
0.00,0.00,acropolis
0.00,0.00,acroscopic
0.00,0.00,acrosome
0.00,0.00,across
0.00,0.00,across_the_board
0.00,0.00,acrostic
0.00,0.13,acrylamide
0.00,0.13,acrylic
0.00,0.00,acrylic_fiber acrylic
0.00,0.00,acrylic_paint acrylic
0.00,0.00,acrylic_resin acrylic acrylate_resin
0.00,0.00,acrylonitrile-butadiene-styrene abs
0.13,0.05,act
0.00,0.00,act_as
0.13,0.00,act_on
0.00,0.00,act_out
0.00,0.00,act_reflexively act_involuntarily
0.00,0.00,act_up
0.63,0.00,actable
0.00,0.00,actifed
0.00,0.00,actin
0.00,0.00,actinal
0.13,0.00,acting
0.13,0.07,acting_out
0.00,0.00,actiniarian actinian actinia
0.00,0.00,actinic
0.00,0.50,actinic_dermatitis
0.00,0.00,actinic_keratosis
0.00,0.00,actinic_ray actinic_radiation
0.00,0.00,actinide_series
0.00,0.00,actinism
0.00,0.00,actinoid
0.00,0.00,actinolite
0.00,0.00,actinometer
0.00,0.00,actinometrical actinometric
0.00,0.00,actinometry
0.00,0.00,actinomorphous actinomorphic
0.00,0.13,actinomyces
0.00,0.00,actinomycete
0.00,0.00,actinomycetous actinomycetal
0.00,0.00,actinomycin
0.00,0.50,actinomycosis
0.00,0.13,actinomycotic
0.25,0.25,actinomyxidian
0.00,0.00,actinon actinoid actinide
0.13,0.00,actinopod
0.10,0.00,action
0.13,0.00,action0
0.00,0.00,action_mechanism action
0.00,0.00,action_officer
0.13,0.00,action_painting abstract_expressionism
0.00,0.00,action_potential
0.00,0.00,action_spectrum
0.25,0.00,actionable
0.00,0.00,actium
0.00,0.00,activate
0.04,0.09,activated
0.00,0.00,activated_charcoal activated_carbon
0.00,0.00,activating_agent
0.00,0.00,activation
0.00,0.00,activator
0.23,0.09,active
0.00,0.00,active0
0.00,0.50,active2
0.00,0.50,active3
0.00,0.00,active4
0.38,0.00,active_agent active
0.00,0.00,active_air_defense
0.00,0.00,active_application
0.00,0.00,active_birth
0.00,0.00,active_citizen
0.13,0.00,active_immunity
0.00,0.00,active_matrix_screen
0.00,0.00,active_placebo
0.00,0.00,active_site
0.00,0.00,active_transport
0.00,0.00,active_trust
0.00,0.00,active_voice active
0.50,0.00,actively
0.00,0.00,activism
0.00,0.00,activistic activist
0.07,0.00,activity
0.00,0.00,activity activeness action
0.13,0.00,activity activeness
0.00,0.00,actomyosin
0.00,0.00,actress
0.00,0.00,acts_of_the_apostles acts
0.19,0.19,actual
0.00,0.00,actual_eviction
0.00,0.00,actual_possession
0.63,0.13,actual_sin
0.00,0.00,actuality
0.13,0.00,actualize actualise
0.00,0.00,actually
0.00,0.00,actuarial
0.00,0.00,actuated
0.00,0.00,actuating activating
0.00,0.00,actuator
0.00,0.00,aculea
0.38,0.13,aculeated aculeate
0.00,0.00,aculeus
0.00,0.00,acumen
0.13,0.00,acuminate
0.00,0.00,acuminate_leaf
0.21,0.21,acute
0.00,0.00,acute_angle
0.00,0.50,acute_gastritis
0.00,0.88,acute_glossitis
0.13,0.00,acute_hemorrhagic_encephalitis
0.00,0.00,acute_leukemia
0.00,0.25,acute_lymphocytic_leukemia acute_lymphoblastic_leukemia
0.13,0.25,acute_myeloid_leukemia acute_myelocytic_leukemia
0.13,0.00,acute_organic_brain_syndrome acute_brain_disorder
0.00,0.13,acute_pyelonephritis
0.13,0.38,acute_renal_failure acute_kidney_failure
0.25,0.00,acute_triangle acute-angled_triangle
0.19,0.00,acutely
0.25,0.13,acuteness
0.13,0.00,acyclic
0.00,0.00,acyl_anhydrides acid_anhydrides
0.00,0.00,acyl_group acyl
0.00,0.00,acyl_halide acid_halide
0.00,0.00,acylation
0.04,0.00,ad_hoc
0.63,0.00,ad_hominem
0.00,0.50,ad_infinitum
0.00,0.00,ad_interim
0.00,0.00,ad_nauseam
0.00,0.00,ad_valorem ad_val
0.00,0.13,adactylous
0.00,0.50,adactyly adactylism adactylia
0.00,0.00,adad
0.10,0.07,adagio
0.00,0.00,adam
0.13,0.13,adamantine
0.00,0.00,adamantly
0.00,0.00,adapa
0.00,0.00,adapid_group adapid
0.25,0.00,adapt accommodate
0.25,0.00,adaptability
0.00,0.00,adaptable
0.00,0.00,adaptation
0.00,0.00,adaptational
0.25,0.00,adaptive adaptative
0.00,0.00,adaptive_radiation
0.00,0.00,adaptor adapter
0.00,0.00,adar
0.00,0.38,ada-scid
0.25,0.00,adaxially
0.00,0.00,add
0.00,0.00,add_on
0.13,0.00,add_to
0.00,0.00,add_together add
0.00,0.00,addax_nasomaculatus addax
0.00,0.00,addend
0.00,0.00,adder
0.13,0.00,adder's_tongue_fern adder's_tongue
0.50,0.00,addible addable
0.00,0.00,addict
0.00,0.00,addicted
0.19,0.13,addiction
0.00,0.00,addition
0.00,0.00,addition accession
0.00,0.00,addition_reaction
0.00,0.00,additions_to_esther
0.00,0.19,additive
0.00,0.00,additive_inverse
0.00,0.25,addle
0.00,0.75,addled
0.00,0.00,address0
0.00,0.00,address
0.63,0.00,addressable
0.13,0.00,addressed
0.00,0.00,addressee
0.00,0.00,addressograph addressing_machine
0.00,0.00,adducer
0.00,0.00,adducing
0.00,0.00,adduct
0.00,0.00,adduction
0.00,0.00,adductive adducting adducent
0.00,0.00,adductor_muscle adductor
0.00,0.00,adelaide
0.00,0.00,adelgid
0.00,0.00,aden
0.00,0.00,adenine a
0.00,0.50,adenitis
0.00,0.00,adenocarcinomatous
0.00,0.00,adenoid
0.00,0.00,adenoidal
0.00,0.00,adenoidectomy
0.00,0.00,adenoma
0.00,0.00,adenomatous_polyp
0.00,0.00,adenomegaly
0.13,0.00,adenopathy
0.00,0.00,adenosine
0.00,0.00,adenosine_deaminase ada
0.00,0.00,adenovirus
0.25,0.00,adequately
0.25,0.38,adequateness adequacy
0.00,0.00,adesite
0.25,0.07,adhere
0.00,0.00,adherent
0.00,0.00,adhesion
0.25,0.50,adhesive
0.00,0.00,adhesive_bandage
0.00,0.00,adhesive_material adhesive_agent adhesive
0.00,0.00,adhesive_tape
0.00,0.00,adhocracy
0.00,0.63,adiabatic
0.00,0.38,adiabatic_process
0.00,0.00,adience
0.00,0.00,adient
0.00,0.00,adipose
0.00,0.00,adirondacks adirondack_mountains
0.00,0.00,adit
0.25,0.38,aditi
0.00,0.00,aditya
0.00,0.00,adjacent
0.13,0.00,adjectivally
0.00,0.00,adjective
0.00,0.00,adjective adjectival
0.00,0.00,adjectively
0.00,0.00,adjoin
0.00,0.13,adjoining_room
0.00,0.00,adjournment
0.00,0.00,adjudication
0.00,0.00,adjudicator
0.00,0.00,adjudicatory adjudicative
0.04,0.25,adjunct
0.00,0.00,adjunctive
0.25,0.00,adjuration
0.00,0.00,adjuratory
0.00,0.00,adjure
0.07,0.00,adjust
0.38,0.00,adjustable
0.00,0.00,adjustable_wrench adjustable_spanner
0.13,0.13,adjusted
0.00,0.00,adjusting_entry
0.63,0.13,adjustive
0.00,0.00,adjustment adaption adaptation
0.00,0.00,adjutant_general
0.00,0.00,adjuvant
0.00,0.00,ad-lib
0.00,0.00,admass
0.00,0.00,admeasure
0.00,0.00,administer
0.63,0.00,administrable
0.00,0.00,administrate administer
0.25,0.00,administrative
0.00,0.00,administrative_hearing
0.00,0.00,administrative_law
0.00,0.00,administrative_unit administrative_body
0.00,0.00,administratively
0.00,0.38,administrator
0.00,0.00,administrivia
0.82,0.00,admirable
0.00,0.00,admiral
0.00,0.00,admiralty
0.00,0.00,admiralty_island
0.00,0.00,admiralty_islands
0.00,0.00,admiralty_range
0.63,0.00,admire
0.50,0.00,admired
0.00,0.00,admirer
0.88,0.13,admiringly
0.38,0.38,admissibility
0.25,0.63,admissible
0.50,0.00,admission
0.00,0.00,admission_day
0.38,0.13,admissive
0.13,0.00,admit acknowledge
0.00,0.00,admit
0.00,0.00,admittance admission
0.25,0.38,admittible admittable
0.00,0.00,admix
0.00,0.00,adnate
0.00,0.00,adnoun
0.13,0.00,adobe
0.00,0.00,adobe_brick adobe
0.00,0.00,adobo
0.00,0.00,adolesce
0.00,0.00,adolescence
0.00,0.00,adolescent
0.00,0.00,adonic
0.00,0.00,adonic_line adonic
0.19,0.00,adonis
0.75,0.00,adoptable
0.00,0.00,adoptee
0.00,0.00,adoption
0.00,0.00,adoptive
0.50,0.00,adoptive adopted
0.00,0.00,adoptive_parent adopter
0.50,0.13,adorableness adorability
0.50,0.13,adore
0.00,0.00,adorer admirer
0.75,0.13,adoringly
0.19,0.00,adornment
0.00,0.00,adoxography
0.00,0.00,adp adenosine_diphosphate
0.00,0.00,adrenal
0.00,0.00,adrenal_cortex
0.00,0.00,adrenal_medulla
0.00,0.00,adrenarche
0.25,0.00,adrenergic_agonist_eyedrop
0.25,0.00,adrenergic_drug adrenergic
0.00,0.00,adrenocortical
0.38,0.13,adrenocorticotropic adrenocorticotrophic
0.00,0.00,adrenosterone
0.00,0.00,adriatic_sea adriatic
0.00,0.00,adrift
0.25,0.00,adroit
0.63,0.00,adroitly
0.00,0.00,adscititious
0.00,0.00,adscript
0.00,0.00,adscripted adscript
0.00,0.00,adsorb
0.38,0.00,adsorbate
0.25,0.00,adsorbate adsorbable
0.00,0.00,adsorbent_material adsorbent
0.63,0.00,adulate
0.38,0.50,adulation
0.25,0.00,adulatory
0.00,0.13,adult
0.00,0.00,adult_body
0.00,0.63,adult_education
0.00,0.25,adult_intelligence
0.00,0.00,adulterating adulterant
0.00,0.00,adulteration
0.00,0.00,adulterator adulterant
0.00,0.00,adulterator
0.00,0.38,adulterine
0.13,0.00,adulterously
0.00,0.00,adulthood
0.13,0.13,adumbration
0.00,0.00,adust
0.00,0.00,advance0
0.13,0.00,advance
0.00,0.00,advance_death_benefit
0.22,0.06,advanced
0.00,0.00,advancer
0.13,0.00,advantage
0.51,0.00,advantageous
0.00,0.00,advect
0.00,0.00,advection
0.00,0.00,advective
0.00,0.00,advent
0.00,0.00,advent_sunday
0.00,0.00,adventitial
0.13,0.25,adventitious
0.00,0.00,adventitious_root
0.00,0.75,adventive
0.00,0.00,adventuress
0.13,0.00,adventurism
0.00,0.00,adventuristic
0.63,0.25,adventurous adventuresome
0.00,0.00,adverb
0.00,0.00,adverbial
0.00,0.00,adverbially
0.00,0.00,adversative_conjunction
0.00,0.75,adverse_opinion
0.25,0.00,adversely
0.00,0.63,adversity
0.13,0.00,advertency advertence
0.00,0.00,advertised
0.00,0.00,advertising_agency ad_agency
0.00,0.00,advertising_campaign ad_campaign ad_blitz
0.13,0.00,advertising_division advertising_department
0.00,0.00,advertizer advertiser adman
0.00,0.00,advertizing advertizement advertising advertisement advert ad
0.00,0.00,advertorial
0.00,0.00,advice
0.00,0.00,advice_and_consent
0.63,0.25,advisability
0.63,0.00,advisable
0.00,0.00,advised
0.00,0.00,advisee
0.00,0.00,advisory
0.00,0.00,advisory_service
0.00,0.00,advowson
0.00,0.50,adynamia
0.00,0.00,adze adz
0.00,0.00,adzharia adzhar
